2021-07-05 SQIB in PMMA 40mgmL medium spin speed dried at 60C
Wavelength (nm)	No1 10pct	No2 4pct	No3 2pct	No4 1pct	No5 0.5pct
850.630493	0.861643	0.865437	0.853417	0.841696	0.867196	
852.210327	0.861642	0.866055	0.853426	0.841256	0.868077	
853.790039	0.861769	0.866231	0.853633	0.840853	0.867159	
855.369507	0.861984	0.865908	0.853271	0.841643	0.867857	
856.948914	0.862574	0.864940	0.853757	0.841349	0.868133	
858.528137	0.862402	0.865544	0.853476	0.841140	0.868155	
860.107239	0.863041	0.866149	0.854035	0.840668	0.867659	
861.686035	0.862248	0.865205	0.853682	0.841169	0.867367	
863.264832	0.862429	0.865091	0.854361	0.841665	0.867025	
864.843384	0.862436	0.864023	0.853990	0.841814	0.867231	
866.421753	0.862780	0.865307	0.853110	0.841085	0.867552	
868.000000	0.862294	0.865501	0.853891	0.841737	0.866958	
869.578125	0.861882	0.864783	0.853528	0.840592	0.867223	
871.156067	0.862496	0.865350	0.854204	0.840761	0.867384	
872.733765	0.862327	0.864939	0.853130	0.840724	0.867101	
874.311401	0.861910	0.865149	0.853886	0.841987	0.867016	
875.888855	0.862748	0.864772	0.854025	0.841156	0.866995	
877.466125	0.862212	0.865619	0.852735	0.841787	0.866417	
879.043274	0.862200	0.864687	0.853409	0.840982	0.866903	
880.620239	0.861456	0.864404	0.853060	0.841698	0.865812	
